subid,eta,beta,decay,resp_st,loglik,aic,model
5617da425c62cf00118231b8,0.6379355806475415,1.5160119071416465,0.6100745452267264,0.0,-128.79520762585327,263.59041525170653,DecayFeatureRL_no_resp_st
58a1fe40ea3d11000170d9b9,0.51447171990619,1.5392832293103078,0.31917650466933334,0.0,-135.6115848262641,277.2231696525282,DecayFeatureRL_no_resp_st
594a969df0ea1b0001558178,0.4087243036623199,1.708202661538163,0.22432613278738803,0.0,-139.17993119218545,284.3598623843709,DecayFeatureRL_no_resp_st
5aae0d1f917b3b00010d491b,0.7109369361595497,2.118666122161291,0.6014310138869021,0.0,-101.54687301953246,209.0937460390649,DecayFeatureRL_no_resp_st
5b31e49c975e260001e96e95,0.4705050703272025,2.392377196894181,0.4314225756517052,0.0,-109.24045899455136,224.48091798910272,DecayFeatureRL_no_resp_st
5b735a4c3503c60001a891b7,0.5444123695743143,1.9899674575337176,0.3402524582886276,0.0,-119.97568693679645,245.9513738735929,DecayFeatureRL_no_resp_st
5c3b871cd1498600018cdd26,0.12399385367215929,1.9397313924097825,0.4384239830155512,0.0,-145.27248263027542,296.54496526055084,DecayFeatureRL_no_resp_st
5d16b8aeaa676d001a898b7d,0.5870688942439667,1.6532226233270948,0.2865450128099563,0.0,-131.72197310755928,269.44394621511856,DecayFeatureRL_no_resp_st
5d3dfb9322ed840001722278,0.6890237718015003,2.507150091113741,0.3154638056202914,0.0,-100.21585688823784,206.43171377647568,DecayFeatureRL_no_resp_st
5dc474fd45b8f933f16d6241,0.49205907053124615,2.3042307702626807,0.5667520532023743,0.0,-109.84350663901525,225.6870132780305,DecayFeatureRL_no_resp_st
5de3658d5feb6e3736bd3672,0.49612053107965387,1.6397102742229974,0.31227814587436176,0.0,-136.14006023785282,278.28012047570564,DecayFeatureRL_no_resp_st
5de83840271a1c7b0fb7ec16,0.6447326593741507,1.8780649243318372,0.36510872068495465,0.0,-120.02623833849307,246.05247667698615,DecayFeatureRL_no_resp_st
5def36764194415d17f32c5b,0.5584977394969417,2.5628621734469124,0.7008373041962007,0.0,-100.0258348240431,206.0516696480862,DecayFeatureRL_no_resp_st
5e914ee346d11b48197172c2,0.5550750251995845,1.9295036025451768,0.3680902209221155,0.0,-121.9905832064159,249.9811664128318,DecayFeatureRL_no_resp_st
5f135746e230db082777e224,0.46898803928485205,1.6535614920232553,0.5806604429717421,0.0,-133.23840054127314,272.4768010825463,DecayFeatureRL_no_resp_st
5f136b2be9d1e835fdb8595c,0.5070447661437029,2.8041323548811508,0.3871174985103825,0.0,-96.1893981266851,198.3787962533702,DecayFeatureRL_no_resp_st
5f18a43ed0b0db0b6f0fc067,0.5742432495861114,2.5615056536089416,0.18944230787179117,0.0,-101.19425507600462,208.38851015200925,DecayFeatureRL_no_resp_st
5f2ccf089978511f2f2905ad,0.49293089366352316,1.9096461518300252,0.7283487871354412,0.0,-120.88550150484397,247.77100300968794,DecayFeatureRL_no_resp_st
5f455ed3326727130e7d4a49,0.5794922211958129,2.0818741738395454,0.39484070227327583,0.0,-123.40321335992957,252.80642671985913,DecayFeatureRL_no_resp_st
5f4c722074dfe876eaa57716,0.12538140037353493,1.8535273290567917,0.31675517842293316,0.0,-153.28852922220437,312.57705844440875,DecayFeatureRL_no_resp_st
5f76586f6ce6850f223a25ab,0.4890945644801575,2.1560541473499897,0.6844873783996963,0.0,-115.6782543881878,237.3565087763756,DecayFeatureRL_no_resp_st
5f974c72a0ed8c0f9ce724ea,0.44931780143539707,1.9428694478315134,0.17852351312448533,0.0,-132.52778421255408,271.05556842510816,DecayFeatureRL_no_resp_st
5fe508e86079e12a8a3b2427,0.4992978294314694,1.0566534368319114,0.16111148581626022,0.0,-152.5379553771068,311.0759107542136,DecayFeatureRL_no_resp_st
