subid,eta,beta,decay,resp_st,loglik,aic,model
53987712fdf99b68e3a45021,0.6343978343128029,2.5256128006953853,0.5159293164458302,0.05498629050648728,-99.95045815249061,207.90091630498122,DecayFeatureRL
55885869fdf99b4020ba0b64,0.3087903013764374,1.4996686378525468,0.5633950358707623,-0.9411627197675517,-110.48712323033143,228.97424646066287,DecayFeatureRL
55914b15fdf99b1e5e44e714,0.2525332527188393,2.857189763392815,0.5106081537264446,-0.11309532848508203,-119.76735229009186,247.53470458018373,DecayFeatureRL
55bc1119fdf99b5693f3ec47,0.46142453986403864,1.5551231469525129,0.2585198257474599,0.0535932766317922,-140.13802352861268,288.27604705722536,DecayFeatureRL
5685850c333cbd000d4e042f,0.5395445130090835,2.263488759748162,0.5644967509046065,-0.13743789035219958,-111.21430748241221,230.42861496482442,DecayFeatureRL
579983292fc0d400012c8937,0.45666669346518995,2.829375035936641,0.6274565242975076,0.038013215129748895,-98.4487496866164,204.8974993732328,DecayFeatureRL
57dab7f721d77800018e42fe,0.4405109777727954,2.086794165112896,0.5909410958436077,0.029036893044258424,-122.14957621451272,252.29915242902544,DecayFeatureRL
58c1d1fb8a3f870001c0e34c,0.688052807127979,2.677950502760779,0.5452569598976705,-0.15821760924625144,-92.26036231911813,192.52072463823626,DecayFeatureRL
590208c89571f50001c666e3,0.5438957534786106,2.5465541186903566,0.3421194828802734,-0.13375801271941473,-104.15463986841655,216.3092797368331,DecayFeatureRL
5a286558564bdf00016463fc,0.4631237698010134,2.1941228021289922,0.2801473465333307,-0.07336275983387147,-120.97242912682209,249.94485825364418,DecayFeatureRL
5a53e59af6c5170001949a39,0.12487431059759246,2.845566571922747,0.545374748575909,-0.06669966729878733,-142.800359549703,293.600719099406,DecayFeatureRL
5a89cc2c000dab00018cbd38,0.2559310812179381,2.082571906981231,0.4185738410879066,-0.019540065820015363,-135.7301895494095,279.460379098819,DecayFeatureRL
5ac4c730f69e940001d977e1,0.04551600783067596,2.469021015674763,0.34178094596096525,-0.07945889229213086,-154.7822382319419,317.5644764638838,DecayFeatureRL
5b23d0784fb0d40001e95407,0.37741852391718156,2.14961026989374,0.6070197070803243,0.036967788423596555,-128.57294979075982,265.14589958151964,DecayFeatureRL
5c74e7e9c3fe130001e86cc8,0.5065008948774627,2.443666713285744,0.694132593414764,-0.005243041441669917,-104.18501691923787,216.37003383847573,DecayFeatureRL
5c8db07eb1f89a0016777fe0,0.7114766632032739,0.8625593464084105,0.13821094370609416,-0.646702892956873,-143.3186804617636,294.6373609235272,DecayFeatureRL
5cd08e2ff59e0a0013563602,0.1544015382574994,3.398409956617521,0.4596398571924205,-0.12060066616249313,-127.42649287083171,262.8529857416634,DecayFeatureRL
5d4b265b72db9d0015e8aac6,0.5625925691825511,2.3335586723937265,0.7077359046717427,0.055942591327565766,-102.21972145774912,212.43944291549823,DecayFeatureRL
5d7472ad3bc4020015f3bb56,0.5651031052504305,2.46407882915376,0.3854454115563989,-0.1295839014411176,-106.65965111767967,221.31930223535934,DecayFeatureRL
5e1f7b2a4c9b832b34e7c9d3,0.5119420950073,2.219124768836893,0.5604213968488256,-0.019893913739341497,-116.24860898522215,240.4972179704443,DecayFeatureRL
5e5410f5be932e06384a03ec,0.43170948307487594,1.7813768593521377,0.1564735863274657,-0.05923923577791618,-136.76559659245407,281.53119318490815,DecayFeatureRL
5e9fb6c522a51f166714e092,0.31213656828518105,2.8318968368027497,0.4300887506841797,-0.023696894651369226,-112.59808460854182,233.19616921708365,DecayFeatureRL
5ee232f2b970662cfa352567,0.6951783786003284,1.7209688321979304,0.421942599465749,0.028450760840833384,-122.8099284017518,253.6198568035036,DecayFeatureRL
5ee5e3b02eebe932ee9559c5,0.515979516516834,1.7415529249880684,0.4859168099668951,-0.18119120711892991,-129.5899526565286,267.1799053130572,DecayFeatureRL
5f7910b3cca3e751912b8dc0,0.4693498453703028,1.7644871071503843,0.25660861273450053,-0.0803812012474885,-133.71669248050347,275.43338496100694,DecayFeatureRL
5fb0a3d6a8e4224b973e750b,0.5658416128789594,1.6377348411565642,0.43597363353279756,-0.02891980406176073,-103.77962523848446,215.5592504769689,DecayFeatureRL
5fc6772fe8fdb700085c553a,0.40854079587810943,1.6011242707834088,0.5283952360660203,-0.09158062376982207,-133.54137607870695,275.0827521574139,DecayFeatureRL
5febf3346a3657d4aca47a2f,0.6426554842686698,2.5308354968721045,0.5749583615708067,-0.002913919134033806,-96.87999078038959,201.75998156077918,DecayFeatureRL
6079ff1600ff2b7455e1c3e0,0.6339741118349662,2.3617766727948246,0.46882056864231425,-0.032583555755497554,-106.25693186600772,220.51386373201544,DecayFeatureRL
60fe83c4f1cfa0b516b363cc,0.5360522693787519,2.005440676934299,0.3777331194470568,-0.08494892975266165,-123.3883483332401,254.7766966664802,DecayFeatureRL
6110d9878a3bec3b5a040544,0.26848084874518297,1.7318068431143387,0.43515054445736395,-0.1316638718438957,-143.06372106936854,294.1274421387371,DecayFeatureRL
