,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,subid,recalled
0,5617da425c62cf00118231b8,1,albatross,4.0,12.0,True,True,0,False,,,albatross,2.0,-3.0,1.0,1.0,1.0,5617da425c62cf00118231b8,True
1,5617da425c62cf00118231b8,1,beach,50.0,,True,False,0,False,,,beach,3.0,-1.0,7.0,1.0,1.0,5617da425c62cf00118231b8,False
2,5617da425c62cf00118231b8,1,board,48.0,,True,False,0,False,,,board,3.0,3.0,7.0,1.0,1.0,5617da425c62cf00118231b8,False
3,5617da425c62cf00118231b8,1,boat,43.0,7.0,True,True,0,False,,,boat,0.0,-2.0,6.0,1.0,1.0,5617da425c62cf00118231b8,True
4,5617da425c62cf00118231b8,1,book,9.0,,True,False,0,False,,,book,3.0,0.0,2.0,1.0,0.0,5617da425c62cf00118231b8,False
5,5617da425c62cf00118231b8,1,boulder,46.0,9.0,True,True,0,False,,,boulder,3.0,1.0,7.0,1.0,0.0,5617da425c62cf00118231b8,True
6,5617da425c62cf00118231b8,1,bowtie,18.0,,True,False,0,False,,,bowtie,1.0,2.0,3.0,1.0,1.0,5617da425c62cf00118231b8,False
7,5617da425c62cf00118231b8,1,boy,32.0,,True,False,0,False,,,boy,2.0,2.0,5.0,1.0,1.0,5617da425c62cf00118231b8,False
8,5617da425c62cf00118231b8,1,bridge,22.0,,True,False,0,False,,,bridge,1.0,-1.0,3.0,1.0,1.0,5617da425c62cf00118231b8,False
9,5617da425c62cf00118231b8,1,burger,3.0,,True,False,0,False,,,burger,2.0,-4.0,1.0,1.0,1.0,5617da425c62cf00118231b8,False
10,5617da425c62cf00118231b8,1,butterfly,15.0,13.0,True,True,0,False,,,butterfly,3.0,-1.0,2.0,1.0,1.0,5617da425c62cf00118231b8,True
11,5617da425c62cf00118231b8,1,cage,45.0,,True,False,0,False,,,cage,3.0,0.0,7.0,1.0,0.0,5617da425c62cf00118231b8,False
12,5617da425c62cf00118231b8,1,cheetah,6.0,,True,False,0,False,,,cheetah,2.0,-1.0,1.0,1.0,1.0,5617da425c62cf00118231b8,False
13,5617da425c62cf00118231b8,1,cherry,8.0,,True,False,0,False,,,cherry,2.0,1.0,1.0,1.0,1.0,5617da425c62cf00118231b8,False
14,5617da425c62cf00118231b8,1,city,12.0,,True,False,0,False,,,city,3.0,3.0,2.0,1.0,0.0,5617da425c62cf00118231b8,False
15,5617da425c62cf00118231b8,1,cloud,19.0,,True,False,0,False,,,cloud,1.0,3.0,3.0,1.0,1.0,5617da425c62cf00118231b8,False
16,5617da425c62cf00118231b8,1,coffin,42.0,,True,False,0,False,,,coffin,0.0,-3.0,6.0,1.0,0.0,5617da425c62cf00118231b8,False
17,5617da425c62cf00118231b8,1,cord,56.0,5.0,True,True,0,False,,,cord,1.0,5.0,8.0,1.0,0.0,5617da425c62cf00118231b8,True
18,5617da425c62cf00118231b8,1,crow,54.0,,True,False,0,False,,,crow,1.0,3.0,8.0,1.0,1.0,5617da425c62cf00118231b8,False
19,5617da425c62cf00118231b8,1,dam,44.0,,True,False,0,False,,,dam,0.0,-1.0,6.0,1.0,1.0,5617da425c62cf00118231b8,False
20,5617da425c62cf00118231b8,1,dolphin,31.0,10.0,True,True,0,False,,,dolphin,2.0,1.0,5.0,1.0,1.0,5617da425c62cf00118231b8,True
