,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,sona_id
40,53987712fdf99b68e3a45021,1,rat,41.0,,True,False,0,False,,,rat,3.0,-2.0,6.0,1.0,1.0,53987712fdf99b68e3a45021
41,53987712fdf99b68e3a45021,1,pen,42.0,,True,False,0,False,,,pen,3.0,-1.0,6.0,1.0,1.0,53987712fdf99b68e3a45021
42,53987712fdf99b68e3a45021,1,savanna,43.0,11.0,True,True,0,False,,,savanna,1.0,0.0,7.0,1.0,0.0,53987712fdf99b68e3a45021
43,53987712fdf99b68e3a45021,1,oasis,44.0,,True,False,0,False,,,oasis,1.0,1.0,7.0,1.0,1.0,53987712fdf99b68e3a45021
44,53987712fdf99b68e3a45021,1,peach,45.0,,True,False,0,False,,,peach,1.0,2.0,7.0,1.0,1.0,53987712fdf99b68e3a45021
45,53987712fdf99b68e3a45021,1,rattle,46.0,,True,False,0,False,,,rattle,1.0,3.0,7.0,1.0,1.0,53987712fdf99b68e3a45021
46,53987712fdf99b68e3a45021,1,car,47.0,,True,False,0,False,,,car,1.0,-3.0,7.0,1.0,1.0,53987712fdf99b68e3a45021
47,53987712fdf99b68e3a45021,1,gazelle,48.0,,True,False,0,False,,,gazelle,1.0,-2.0,7.0,1.0,1.0,53987712fdf99b68e3a45021
48,53987712fdf99b68e3a45021,1,bean,49.0,,True,False,0,False,,,bean,1.0,-1.0,7.0,1.0,1.0,53987712fdf99b68e3a45021
49,53987712fdf99b68e3a45021,1,buffalo,50.0,3.0,True,True,0,False,,,buffalo,3.0,0.0,8.0,1.0,0.0,53987712fdf99b68e3a45021
50,53987712fdf99b68e3a45021,1,barn,51.0,2.0,True,True,0,False,,,barn,3.0,1.0,8.0,1.0,1.0,53987712fdf99b68e3a45021
51,53987712fdf99b68e3a45021,1,pin,52.0,15.0,True,True,0,False,,,pin,3.0,2.0,8.0,1.0,1.0,53987712fdf99b68e3a45021
52,53987712fdf99b68e3a45021,1,badge,53.0,16.0,True,True,0,False,,,badge,3.0,3.0,8.0,1.0,1.0,53987712fdf99b68e3a45021
53,53987712fdf99b68e3a45021,1,jail,54.0,14.0,True,True,0,False,,,jail,3.0,-3.0,8.0,1.0,1.0,53987712fdf99b68e3a45021
54,53987712fdf99b68e3a45021,1,map,55.0,,True,False,0,False,,,map,3.0,-2.0,8.0,1.0,1.0,53987712fdf99b68e3a45021
55,53987712fdf99b68e3a45021,1,ship,56.0,13.0,True,True,0,False,,,ship,3.0,-1.0,8.0,1.0,1.0,53987712fdf99b68e3a45021
56,53987712fdf99b68e3a45021,2,land,1.0,,True,False,0,False,,,land,0.0,0.0,9.0,2.0,0.0,53987712fdf99b68e3a45021
57,53987712fdf99b68e3a45021,2,couch,2.0,,True,False,0,False,,,couch,0.0,1.0,9.0,2.0,1.0,53987712fdf99b68e3a45021
58,53987712fdf99b68e3a45021,2,store,3.0,,True,False,0,False,,,store,0.0,2.0,9.0,2.0,1.0,53987712fdf99b68e3a45021
59,53987712fdf99b68e3a45021,2,harmonica,4.0,3.0,True,True,0,False,,,harmonica,0.0,3.0,9.0,2.0,1.0,53987712fdf99b68e3a45021
60,53987712fdf99b68e3a45021,2,hotdog,5.0,2.0,True,True,0,False,,,hotdog,0.0,4.0,9.0,2.0,1.0,53987712fdf99b68e3a45021
61,53987712fdf99b68e3a45021,2,suv,6.0,19.0,True,True,0,False,,,suv,0.0,-3.0,9.0,2.0,1.0,53987712fdf99b68e3a45021
62,53987712fdf99b68e3a45021,2,moth,7.0,,True,False,0,False,,,moth,0.0,-2.0,9.0,2.0,1.0,53987712fdf99b68e3a45021
63,53987712fdf99b68e3a45021,2,ski,8.0,20.0,True,True,0,False,,,ski,0.0,-1.0,9.0,2.0,1.0,53987712fdf99b68e3a45021
64,53987712fdf99b68e3a45021,2,mitten,9.0,,True,False,0,False,,,mitten,2.0,0.0,10.0,2.0,0.0,53987712fdf99b68e3a45021
