sona_id,eta,beta,decay,resp_st,loglik,aic
53987712fdf99b68e3a45021,0.08921945053609218,5.041586647727174,0.42930463757182136,1.0,-10.383868094578919,26.767736189157837
55885869fdf99b4020ba0b64,0.04238308032984078,2.1633953282999867,0.5174807316089949,1.0,-75.84027758467936,157.6805551693587
55914b15fdf99b1e5e44e714,0.16437509352526358,3.1140045926019435,0.5148349275350648,1.0,-35.0486815018499,76.0973630036998
55bc1119fdf99b5693f3ec47,0.2416005858903692,4.042261856112809,0.4810885628165977,1.0,-24.836381169312826,55.67276233862565
5685850c333cbd000d4e042f,0.28769638763313876,3.1851181322958957,0.26444277253300535,1.0,-33.487741985422225,72.97548397084445
579983292fc0d400012c8937,0.3174183399844757,3.2107299520304386,0.6107828463654358,1.0,-27.40040816080539,60.80081632161078
58c1d1fb8a3f870001c0e34c,0.08901937999302155,3.890445741277413,0.5673072622583837,1.0,-22.72318872904022,51.44637745808044
590208c89571f50001c666e3,0.3933090970875707,4.235310518044798,0.4213014027139134,1.0,-16.86075841342366,39.72151682684732
5a286558564bdf00016463fc,0.07180579962236835,3.834321975778501,0.44393914834736486,1.0,-23.814511632945443,53.629023265890886
5a53e59af6c5170001949a39,0.09214653758679482,3.894533639453029,0.4708670276403933,1.0,-23.388862393751772,52.777724787503544
5a89cc2c000dab00018cbd38,0.23070569168734426,2.392497686028835,0.38516812630407155,1.0,-61.24246967580602,128.48493935161204
5ac4c730f69e940001d977e1,0.10585696826547784,3.682734858829224,0.3536421443699223,1.0,-30.428726136284148,66.8574522725683
5b23d0784fb0d40001e95407,0.12517738173856463,2.970487907989159,0.6171057934392368,1.0,-42.442116701448235,90.88423340289647
5c560b6fccb08c0001e134a8,0.06138192388406833,2.107158255969166,0.3493612776924346,1.0,-74.55411038104954,155.10822076209908
5c74e7e9c3fe130001e86cc8,0.3338479513964412,3.51566900821812,0.5667526897903179,1.0,-24.365041839227686,54.73008367845537
5c8db07eb1f89a0016777fe0,0.14512589583473015,3.39538967026422,0.21925198473350777,1.0,-37.24645670797164,80.49291341594328
5cd08e2ff59e0a0013563602,0.19322407392030883,3.543610733659926,0.5293265329870573,1.0,-27.618042864923456,61.23608572984691
5d4b265b72db9d0015e8aac6,0.40772694191916375,2.94199503847709,0.37782873635062736,1.0,-34.28409551947568,74.56819103895135
5d7472ad3bc4020015f3bb56,0.40789304126580733,2.8462186174223816,0.37061382415273786,1.0,-37.165338122965665,80.33067624593133
5e1f7b2a4c9b832b34e7c9d3,0.0829278018815238,3.148018412093377,0.40287162241758867,1.0,-37.533098403463555,81.06619680692711
5e5410f5be932e06384a03ec,0.29869713400719033,3.1859779847846665,0.20457396584580081,1.0,-39.04201562044095,84.0840312408819
5e6ec2818808e6486e268039,0.07294251628173941,4.514400580758147,0.4654450049349793,1.0,-15.247710490369823,36.495420980739645
5e9fb6c522a51f166714e092,0.46055244814278196,1.9207162028903673,0.3341585238152142,1.0,-69.41298848652832,144.82597697305664
5ee232f2b970662cfa352567,0.1498323056023055,3.1015111540120865,0.2390235937796172,1.0,-39.974632986467,85.949265972934
5ee5e3b02eebe932ee9559c5,0.09766855936840645,3.458155668336953,0.4051924801263929,1.0,-30.60209488583312,67.20418977166625
5fb0a3d6a8e4224b973e750b,0.39017666005231216,3.9833063692956117,0.4302910064721027,1.0,-21.90767266402049,49.81534532804098
