,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,subid,recalled
39,53987712fdf99b68e3a45021,1,peach,45.0,,True,False,0,False,,,peach,1.0,2.0,7.0,1.0,1.0,53987712fdf99b68e3a45021,False
40,53987712fdf99b68e3a45021,1,pearl,22.0,,True,False,0,False,,,pearl,1.0,-1.0,3.0,1.0,1.0,53987712fdf99b68e3a45021,False
41,53987712fdf99b68e3a45021,1,pen,42.0,,True,False,0,False,,,pen,3.0,-1.0,6.0,1.0,1.0,53987712fdf99b68e3a45021,False
42,53987712fdf99b68e3a45021,1,pin,52.0,15.0,True,True,0,False,,,pin,3.0,2.0,8.0,1.0,1.0,53987712fdf99b68e3a45021,True
43,53987712fdf99b68e3a45021,1,pretzel,2.0,,True,False,0,False,,,pretzel,2.0,1.0,1.0,1.0,0.0,53987712fdf99b68e3a45021,False
44,53987712fdf99b68e3a45021,1,rat,41.0,,True,False,0,False,,,rat,3.0,-2.0,6.0,1.0,1.0,53987712fdf99b68e3a45021,False
45,53987712fdf99b68e3a45021,1,rattle,46.0,,True,False,0,False,,,rattle,1.0,3.0,7.0,1.0,1.0,53987712fdf99b68e3a45021,False
46,53987712fdf99b68e3a45021,1,redwood,12.0,,True,False,0,False,,,redwood,0.0,3.0,2.0,1.0,1.0,53987712fdf99b68e3a45021,False
47,53987712fdf99b68e3a45021,1,savanna,43.0,11.0,True,True,0,False,,,savanna,1.0,0.0,7.0,1.0,0.0,53987712fdf99b68e3a45021,True
48,53987712fdf99b68e3a45021,1,ship,56.0,13.0,True,True,0,False,,,ship,3.0,-1.0,8.0,1.0,1.0,53987712fdf99b68e3a45021,True
49,53987712fdf99b68e3a45021,1,spatula,31.0,,True,False,0,False,,,spatula,0.0,2.0,5.0,1.0,1.0,53987712fdf99b68e3a45021,False
50,53987712fdf99b68e3a45021,1,stool,8.0,,True,False,0,False,,,stool,2.0,-1.0,1.0,1.0,1.0,53987712fdf99b68e3a45021,False
51,53987712fdf99b68e3a45021,1,stove,23.0,,True,False,0,False,,,stove,2.0,0.0,4.0,1.0,0.0,53987712fdf99b68e3a45021,False
52,53987712fdf99b68e3a45021,1,sun,7.0,18.0,True,True,0,False,,,sun,2.0,-2.0,1.0,1.0,1.0,53987712fdf99b68e3a45021,True
53,53987712fdf99b68e3a45021,1,train,27.0,,True,False,0,False,,,train,2.0,-2.0,4.0,1.0,1.0,53987712fdf99b68e3a45021,False
54,53987712fdf99b68e3a45021,1,walnut,25.0,,True,False,0,False,,,walnut,2.0,2.0,4.0,1.0,0.0,53987712fdf99b68e3a45021,False
55,53987712fdf99b68e3a45021,1,whale,3.0,,True,False,0,False,,,whale,2.0,2.0,1.0,1.0,1.0,53987712fdf99b68e3a45021,False
56,53987712fdf99b68e3a45021,2,almond,19.0,22.0,True,True,0,False,,,almond,0.0,3.0,11.0,2.0,1.0,53987712fdf99b68e3a45021,True
57,53987712fdf99b68e3a45021,2,aspen,10.0,,True,False,0,False,,,aspen,2.0,1.0,10.0,2.0,1.0,53987712fdf99b68e3a45021,False
58,53987712fdf99b68e3a45021,2,bear,49.0,7.0,True,True,0,False,,,bear,2.0,-1.0,15.0,2.0,1.0,53987712fdf99b68e3a45021,True
59,53987712fdf99b68e3a45021,2,bee,36.0,,True,False,0,False,,,bee,3.0,-1.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,False
60,53987712fdf99b68e3a45021,2,berry,30.0,16.0,True,True,0,False,,,berry,3.0,1.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,True
61,53987712fdf99b68e3a45021,2,boot,31.0,17.0,True,True,0,False,,,boot,3.0,2.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,True
62,53987712fdf99b68e3a45021,2,building,32.0,,True,False,0,False,,,building,3.0,3.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,False
63,53987712fdf99b68e3a45021,2,cigar,23.0,,True,False,0,False,,,cigar,1.0,-3.0,12.0,2.0,1.0,53987712fdf99b68e3a45021,False
64,53987712fdf99b68e3a45021,2,clam,38.0,11.0,True,True,0,False,,,clam,1.0,1.0,14.0,2.0,1.0,53987712fdf99b68e3a45021,True
